comment_id,body,rating
UgztP4lVR-Epv5HlSXN4AaABAg,stretch past minut mark for ad revenu se,0
UgzZubyLG5FtZu7qlal4AaABAg,big time scam,0
UgzSMwb88ntjkYHQYaN4AaABAg,id recycl his face,0
UgwS5xQLLnyIzNUS4bp4AaABAg,god dang are a twat,0
Ugz1EJ6K2F0CYUX5NrN4AaABAg,whi not give it away to one of fan that recogn you,0
UgyI5hLjBfIN99uVWDt4AaABAg,im trash but your trash and stupid im unsubscrib,0
UgwDghsKi_E8H3xYe-V4AaABAg,are crazi man k,0
Ugxo2RWpZiVb6i0dGO54AaABAg,physicali hate,0
UgwkHi8FfFqozu7c4KJ4AaABAg,first video se of and alreadi fake god job,0
Ugy-UnErAg23Btoph3x4AaABAg,that so mese up,0
Ugw4WM4x9DueZbBScdZ4AaABAg,fuckin hate rich peopl,0
UgzCqacTA4aRen3zvB14AaABAg,it a scam,0
Ugy-fVAHTGJFm6DvUV54AaABAg,stupid moron buck bo,0
Ugxez13EeojXhaKiuZl4AaABAg,honesti think he put fake one in,0
UgwNcauHhegxkkiywtJ4AaABAg,that coment by portman was reali stupid,0
Ugx-4nI4Li4zCSFQV-14AaABAg,femin a fuck joke liber shit went overboard,0
Ugy1fD2MIYIUCOxSw0V4AaABAg,just like blm movement when they bitch about no black pl be nomin give it a few month none wil care,0
Ugx3WXMMjhlxQApo08h4AaABAg,can they just fire guy alreadi he suck,0
Ugz_QIpO68u8IxeP9S54AaABAg,it me or doe he get wors everi night,0
Ugxm1szLhsMtuYNTUGZ4AaABAg,coment so funi laugh,1
Ugwshvjmf9l1A_tUpcZ4AaABAg,pleas dislik video thank you,0
Ugxr94CUddyx1jKqNCV4AaABAg,fire niga hire chris smove smh,0
Ugwq8nzzE3fTJedN9zh4AaABAg,gros,0
UgzYexcaXBJ0LynLTOF4AaABAg,im hela late but god job mat,1
Ugyni2W3FKuZDHttnjp4AaABAg,definit not deserv dislik on that level,1
UgyukBrzkLO56R6AYtl4AaABAg,made me cring out of my skin,0
UgyavCqis6yNLKRODwJ4AaABAg,to be honest first guy was actuali decent but mat and other guy are just a bit cringey,0
UgzzQmi5kDSerhBgD_h4AaABAg,mathew lok great,1
Ugww-V35HzQqIUrUFlV4AaABAg,sound like a distrack to literali everi singl view hungri youtub in exist and love it with a pasion,1
UgxREmOjiLQksLeYWup4AaABAg,love it,1
UgyFe7JzVN9j-u2S76l4AaABAg,dope song,1
Ugwx3whJSBrhl1RWulF4AaABAg,reali man thought were col but now your be like everyon els,0
Ugwa3gd-Op6dPLSHm2Z4AaABAg,first rap ive heard with real and meaning lyric,1
UgyUQ-wjcXqJI9wKPDV4AaABAg,mat se what your do and new direct col but mayb should start up a side chanel for your music and stuf,0
Ugzy5pgqrGHmzIX5rrB4AaABAg,what go on santoro your chanel done what to expect from you fel beter man,0
UgyjX1OCwKtvMHlDiZl4AaABAg,so much hate music video got,1
UgwW5f9Mj_HgWx1EB9x4AaABAg,pleas not tri to rap with those hors teth ever againwait not some girl beat up,0
Ugzh9WxJIm12V55ebsB4AaABAg,damn like straight up damn,1
UgzdXYSYdOdQrkDqbvJ4AaABAg,laugh self absorb person literali have no clue so mani of your fan say how love and authent use to be,0
Ugwa7Ee3j2UFbGd1mSh4AaABAg,im not a big fan of kemstar but shit,0
Ugzh_G8G5Gs_FkQuQSt4AaABAg,are gona be such an amaz mom,1
UgxX-ryCkotNcHg4srF4AaABAg,congrat gigi can make a video of babi enzo closet wish where my mom love,1
UgwYV-KrazkoA-_Gvpt4AaABAg,are reason for homofob not want gay to have children,0
UgxoBi_Z9qaWCYcLoA94AaABAg,what a truli ugli person,0
UgzCG2PxqdZ_lDQi5wl4AaABAg,shes die for atent and view,0
UgydGgApLd4OF9xRfG14AaABAg,nat literali tri to hold back her laugh,0
Ugwy5fkNfVXup-7Li2B4AaABAg,not get it,0
Ugwn48vrZh8m4K388ul4AaABAg,group babi stupidest thing ive ever heard,0
UgwoT6ReOQ3j3CJ0XpN4AaABAg,watch in amaz video and reali nede and brave for a youtub,1
UghrJq0mJuCbnHgCoAEC,fuck of,0
Ugy1jiS5Im_YFK14-cJ4AaABAg,laugh,1
UgzsSmIdacCga5OG7C14AaABAg,downward spiral,0
UgwJTrFDkeS-p0MlP1t4AaABAg,how much did she pay to make video,0
UgzEkJPQjXx0Cw2LvkR4AaABAg,moron,0
Ugw0oZyTBQh5ykLYbHZ4AaABAg,your choic sad,0
UgyUwCHLtszAFeAskC14AaABAg,guy such an idiot video did not age wel at al lol,0
UgwPxYIe6DcPYdiMrpx4AaABAg,she know what shes do blaugh,0
UgzQtXQMcfLHfWc9VTd4AaABAg,propaganda,0
Ugy1ePE6HuCfAvH1LLN4AaABAg,shut fuck up,0
UgxBgqv-sF99J-eQx754AaABAg,no no no apogis not acept,0
UgzWv8y70HHTdYg6Wqh4AaABAg,ashol,0
UgwqYaadcRSchg0TJZF4AaABAg,worst youtub in world,0
