comment_id,body,rating
UgjVVUkF3LLWNXgCoAEC,loks god,1
Ugxm1szLhsMtuYNTUGZ4AaABAg,comentator funy laugh,1
UgySn7yTSWAwIBabrEx4AaABAg,man legend,1
UgwsvtG8cZmcHp_jynx4AaABAg,another talent mathew poses,1
Ugxn2Ag15UkrVAtPDh54AaABAg,kinda love this its not mumble rap bs plus mat loks hot,1
Ugy1Wp2qqlNY2212gCt4AaABAg,love mathew kiled,1
Ugxv28EU_oNlNd7b13h4AaABAg,dang mat kilin it,1
UgzYexcaXBJ0LynLTOF4AaABAg,im hela late god job mat,1
Ugyni2W3FKuZDHttnjp4AaABAg,definitely not deserve dislikes level,1
Ugxr5x-GjFOABloQKV14AaABAg,bro whens next song not let haters stop,1
Ugw_yUIuD020h9TcGIZ4AaABAg,underated,1
UgwT9F3OFVNxlrwMgDl4AaABAg,sick beats mat sick beats,1
UgwKto97pMKGpKs3LCx4AaABAg,ey actualy prety god,1
UgzrxlyZqaH52PdzLcZ4AaABAg,k ki say,1
UgzzQmi5kDSerhBgD_h4AaABAg,mathew loks great,1
UgzQg1V08S3Q3ilcNAB4AaABAg,youtuber song actualy did enjoy many dislikes,1
UgytN7D5fIIuE-zAwsd4AaABAg,cute,1
Ugysmml0mC5bdlPhp9p4AaABAg,not bad at al,1
UgwlN8vvfgvoYXoMY714AaABAg,smal crush mat grew like  times during video oh god,1
Ugww-V35HzQqIUrUFlV4AaABAg,sounds like distrack literaly every single view hungry youtuber existence love with pasion,1
UgwxU5U7bMSRipXzDsN4AaABAg,we love mat,1
UgwHbe9md0_D1zWvS-54AaABAg,mis al clones comedy skits,1
UgxREmOjiLQksLeYWup4AaABAg,love it,1
Ugxzgl2cSYkUKTOHhBh4AaABAg,like tbh ned find true meaning behind song,1
UgwNpfyvzcg5k0iaeYt4AaABAg,love matew im glad did this realy do like it,1
UgyFe7JzVN9j-u2S76l4AaABAg,dope song,1
Ugwa3gd-Op6dPLSHm2Z4AaABAg,first rap ive heard with real meaningful lyrics,1
UgyMtH-sjSW9WuTbtzl4AaABAg,song ok dope,1
UgzxzAbAAJj_qRvFMGR4AaABAg,love stuf mathew,1
UgyjX1OCwKtvMHlDiZl4AaABAg,much hate music video got,1
UgxA1B2jDe0uZ1So63N4AaABAg,at least beter than jake paul,1
UgxcERakFd-pyslvc394AaABAg,col song like,1
UgyQ2NNGS9qu-dkMZXR4AaABAg,not like mixmaster song awesome wel done mat,1
UgyBQiiYv5jr1O3r49p4AaABAg,like it,1
UgzoDHEuxU3-YlQj8EF4AaABAg,o god best song ive ever heard mathew sound mazing,1
UgwwQQJnrI8E8GkNfwF4AaABAg,certainly beter than jake paul kep up work,1
Ugzh9WxJIm12V55ebsB4AaABAg,damn like straight up damn,1
UgyKsi14DRDSsONPUch4AaABAg,man song deserve more likes than dislikesnot haters,1
Ugyk3-Gb5OsnHQFbhDx4AaABAg,nice vocals,1
Ugy7bO5IeOQTS6iwmkt4AaABAg,mat knew would have best verse,1
UgxTnqLLiYbuecZVHvB4AaABAg,not deserve al dislikes not even bad can tel spent lot time,1
UgxfJvPaJbTr_fJn9rt4AaABAg,what cute baby,1
Ugzh_G8G5Gs_FkQuQSt4AaABAg,gona such an amazing mom,1
UgxX-ryCkotNcHg4srF4AaABAg,congrats gigi can make video baby enzos closet wish where mom,1
Ugw2ErOa3vc1HFnW4iZ4AaABAg,oh god god hear,1
UgzSvPTW0WzLSMYBHWh4AaABAg,aw two amazing smile,1
UgxAQ519ZYQvuEvJUJZ4AaABAg,congrats gigi familyhugs from india,1
UgwiZ5QFZv7EG_0gBFl4AaABAg,hapy both you,1
UgyfWiRZViBx4rDGuOJ4AaABAg,congrats baby,1
UgwoT6ReOQ3j3CJ0XpN4AaABAg,watching  amazing video realy neded brave youtuber,1
UgzhW9nURz4e_K0_vOB4AaABAg,respect casey,1
UgwV_4RiqcINlz0WS554AaABAg,big brain,1
UgxjOAO3lYuldH10ymh4AaABAg,love casey love you,1
UgyrTpqkPvmOlcT9pu94AaABAg,thank man,1
UgxyTAwniStn3ln1SwJ4AaABAg,god casey,1
Ugz0enD5Sl-tQVSXK914AaABAg, years later thats true man,1
Ugy1jiS5Im_YFK14-cJ4AaABAg,laugh,1
