comment_id,body,rating
UgztP4lVR-Epv5HlSXN4AaABAg,stretch past minut mark for ad revenu se,0
Ugw3sxLwikkGsUza7hh4AaABAg,make no sens sold new phone for noth,0
Ugxe5-sz9eHyFCvZX4l4AaABAg,whi he hapi he just lost dolar,-1
UgxInsxWP8cnbFEh1Cp4AaABAg,doe work on ipad,-1
Ugwn6_K1_792ARqfY4h4AaABAg,yo as beter not have donat cord might have ben bad if youv sen video other do shouldv known peopl gete buck just for broken iphon,-1
Ugz5bQgZRZ6jTEgT0Op4AaABAg,talk damn much like get point,0
UgxUfNJxwDxAOC232dV4AaABAg,do reali have brain unsubscrib,0
UgyZz5GOV1fu05dd8z14AaABAg,whi doe say n o p e when he grab his phone,-1
Ugy-w4Alg8dWV832Xct4AaABAg,whi would recycl your iphon rich kid shake my head,-1
Ugwk1rOlnxTKMGeSQYl4AaABAg,rose red violet blue vid start at,-1
UgxGrpeOgUkBVUSyZAx4AaABAg,should have given one your fan store,-1
Ugwa-U3DC-GMp3u9jbx4AaABAg,sel nokia,-1
UgzZubyLG5FtZu7qlal4AaABAg,big time scam,0
UgzxtBonBOSragayWtp4AaABAg,got dolar for x gb,-1
UgwL7IT4PTdLHXFi2LJ4AaABAg,fake replac phone wast time click bait bs,0
Ugz8N_qVu3PNcGTN4hl4AaABAg,j,-1
Ugxsr6Kq36GovczfwXR4AaABAg,dolar,-1
UgwUGEgHVDte55u3Pzd4AaABAg,talk much,0
UgwmBF6h8qaau8htjxN4AaABAg,your audi,-1
UgzceIPX4VnLLnFTPGZ4AaABAg,mega idiot award goe,0
UgyguZf1-mdlxp0HJn14AaABAg,whi hel titl polish,-1
UgwyIQ3LFS_0ZW68jF14AaABAg,thought mr beast for second,-1
UgzSMwb88ntjkYHQYaN4AaABAg,id recycl his face,0
UgwS5xQLLnyIzNUS4bp4AaABAg,god dang twat,0
Ugxy3Jv2eVWijEXl9T54AaABAg,that fuck up,0
Ugzf0iCip78s2KSesWx4AaABAg,percent bulshit,0
UgyZ5LrNN1v4QH4yS-l4AaABAg,guy lok like stereotyp egocentr youtub,0
UgykI1O2HNp-KukLYcN4AaABAg,somebodi gave me one those that first thing would do with,-1
Ugx7k0eN0L8F87MJ5eZ4AaABAg,purchas dolar fake,0
UgxC49Cii-xZCQnea8t4AaABAg,he has punchabl face,0
UgyM_aK79CyzrMJyKSx4AaABAg,omg your anoy,0
UgzKf-s-GOj6n0mA7L94AaABAg,just realiz live near walmart,-1
UgwCmnUaK3WqGICoPZN4AaABAg,damn hurt me,0
UgzKV10pJfC_VUf6TSV4AaABAg,basicali wast shake my head,-1
UgzHtjlOCFYGwKj2wC94AaABAg,rubish vid not make thing like futur just wast mg damn time,0
UgyO8ss8zmAQP9GEKbV4AaABAg,straight outa compton,-1
Ugxh29z1pyEtFoKDnQB4AaABAg,pleas can give two iphon x s max my locat uae alain,-1
UgyTqsp3JZJ1hMa4Y5h4AaABAg,hey if wana recycl anoth phone just give me can email me for my adr hope consid it,-1
Ugy48bn0dnUqLEtxSG94AaABAg,whi though,0
UgwvCLeAws3w4I2t7yt4AaABAg,not dislik like yo,-1
Ugx-P1ogCGKJc4ULfzV4AaABAg,an idiot,0
Ugz1EJ6K2F0CYUX5NrN4AaABAg,whi not give away one fan recogn you,0
UgyI5hLjBfIN99uVWDt4AaABAg,im trash but your trash stupid im unsubscrib,0
UgzFdmc8AsKGrNko3cR4AaABAg,guy stupid,0
UgzgTeextXxpQco8ert4AaABAg,how lose,-1
Ugy24yDis1ksCwEccbJ4AaABAg,born long beach editand ive ben walmart,-1
UgxtvuN5Ay0imviXHDp4AaABAg,your preti dumb even tho it not real could have donat someon who not have anyrh,0
UgxWTYFMpYW2Z3KqkIF4AaABAg,compuls liar,0
UgxX4kXU4dThwpol3g14AaABAg,how do know iphon x bought park lot real one,-1
UgwhfEmeOxbz5OOgofZ4AaABAg,put slow he cant hear yal he not speak broke laugh mean airpod,-1
Ugzsucq2Z1SU20Kq2x14AaABAg,whi buli day man,-1
Ugw5fddkpCzkg0rYziF4AaABAg,whi would ever do,0
UgyDeSXXppzEqLkTP7p4AaABAg,idiot,0
UgwDghsKi_E8H3xYe-V4AaABAg,crazi man k,0
Ugzm53P5s7pR5-gWfnR4AaABAg,bro pleas give me phone,-1
UgyjxHAtk2lF3ig-3SV4AaABAg,had friend who transfer difer place his job went say hi saw eco cant wait film,-1
UgzeDtn_dQWyx5TDsKB4AaABAg,im not anoy sold an iphon it becaus fake,0
UgyqfDrwh3rt-v2R6294AaABAg,hurt my heart like whi kil babi por thing young shouldv just given me smh,0
Ugyw23xW3I1M7xzi2rl4AaABAg,unsubscrib,0
UgxzcElPqW0uMqi-g-F4AaABAg,wali,-1
Ugz5kWwnyzGf_Itoxah4AaABAg,no dumb,0
Ugz1pty4W7n7hshhG5V4AaABAg,stupid guy,0
UgyGYe_yPrIVxW9IrMl4AaABAg,have punchabl face,0
UgzNHXW1nQQeN0qh20V4AaABAg,have galaxi s,-1
UgwF673F4qFD38Mxpbh4AaABAg,hes fake,0
UgztTgWzeiClMQp4Xkd4AaABAg,can not fuck move around,0
UgwoBTDep86sOI4pI7t4AaABAg,just whi,-1
UgxASuCfiZy4wZK1RJd4AaABAg,peopl background laugh,-1
UgxSY4doo6P537jb5T54AaABAg,ima pis your fruit lop,-1
Ugxo2RWpZiVb6i0dGO54AaABAg,physicali hate,0
UgyAm8sujQSPCMVi-Mh4AaABAg,dumb,0
UgxCigQ72-pcjQOMZ_h4AaABAg,fel your just act as like fuck tard,0
UgxyJe4ETbYhO1sVn1Z4AaABAg,what actuali wrong with dude,0
Ugy1W4GryPkaEiTuJYp4AaABAg,sort stretch,-1
Ugy9OHeg9dkDQ8_utA94AaABAg,at he cut clip,-1
UgzVxTOxBpI4htK9f0N4AaABAg,should have given me,-1
UgzIu31DdOUKjh_rxd54AaABAg,wali,-1
UgyXIACDgGDmZiv4uSF4AaABAg,pise lot peopl of with,-1
UgwhP4J_6dzbf5qhH5Z4AaABAg,wast dolar,-1
UgxDoft4XV0B5pY9q-14AaABAg,wast my time your dumba shouldv got back,0
UgwkHi8FfFqozu7c4KJ4AaABAg,first video se alreadi fake god job,0
UgzW7fsgMi69R6kAwId4AaABAg,know kept phone,-1
Ugx4KB7k_ICVaZQ2wEF4AaABAg,k dislik laugh,-1
UgyxOmvheXI9zGew9Y94AaABAg,fake,0
