body,positive,negative,neutral,rated,comment_id,video_id,date
"*stretched past the 10 minute mark for ad revenue, I see!*",0,1,0,1,UgztP4lVR-Epv5HlSXN4AaABAg,ItYOdWRo0JY,2020-01-10T20:24:33Z
That makes no sense you sold a new phone for nothing ?,0,1,0,1,Ugw3sxLwikkGsUza7hh4AaABAg,ItYOdWRo0JY,2020-03-22T19:13:19Z
WHY IS HE SO HAPPY HE JUST LOST $900 DOLLARS,0,0,1,1,Ugxe5-sz9eHyFCvZX4l4AaABAg,ItYOdWRo0JY,2020-10-30T12:27:57Z
Does it work on iPads,0,0,1,1,UgxInsxWP8cnbFEh1Cp4AaABAg,ItYOdWRo0JY,2020-07-21T16:38:40Z
Yo ass better not have donated.. that cord might have been bad..  if you've seen videos of other doing this you should've known people getting 20 bucks just for broken iphones..,0,0,1,1,Ugwn6_K1_792ARqfY4h4AaABAg,ItYOdWRo0JY,2019-12-23T13:35:04Z
Talk to damn much like get to the point,0,1,0,1,Ugz5bQgZRZ6jTEgT0Op4AaABAg,ItYOdWRo0JY,2020-03-01T15:36:02Z
Do you really have brain? Unsubscribing,0,1,0,1,UgxUfNJxwDxAOC232dV4AaABAg,ItYOdWRo0JY,2020-12-19T06:59:10Z
"6:10 Why does it say ""N O P E"" when he grabs his phone?",0,0,1,1,UgyZz5GOV1fu05dd8z14AaABAg,ItYOdWRo0JY,2020-02-18T03:14:03Z
It was his phone he could do whatever he wanted with it,0,0,1,1,UgxGoHzDDkkn9HePDKx4AaABAg,ItYOdWRo0JY,2020-08-29T01:03:27Z
Kids stay away from drugs!!!,0,0,1,1,Ugy3XYCLMNHa0f6AZqB4AaABAg,ItYOdWRo0JY,2020-03-20T02:59:25Z
Nigga fucking wasted a iPhone x,0,1,0,1,Ugx17oPE-GpTdOfXOz14AaABAg,ItYOdWRo0JY,2020-05-04T02:13:50Z
THAT MACHINE SCAMS SO THATS WHY THERE WERE MANY POP UPS TO SHOW YOU FOR THAT AND THATS WHY YOU DIDNT GET THE SELLING PRICE..,0,1,0,1,UgxfqlCvyOCXyO6Duk14AaABAg,ItYOdWRo0JY,2020-08-19T22:51:32Z
"Why would you recycle your iphone rich kid 🤦‍♂️

Smh",0,0,1,1,Ugy-w4Alg8dWV832Xct4AaABAg,ItYOdWRo0JY,2019-11-27T21:08:41Z
"Roses are red 
Violets are blue
The vid starts at 3:21",0,0,1,1,Ugwk1rOlnxTKMGeSQYl4AaABAg,ItYOdWRo0JY,2019-09-22T16:13:21Z
you should have given it to one of your fans in the store,0,0,1,1,UgxGrpeOgUkBVUSyZAx4AaABAg,ItYOdWRo0JY,2019-11-10T04:25:25Z
Fake alarm,0,1,0,1,UgyU5IcLSIgtgjEYhGF4AaABAg,ItYOdWRo0JY,2019-10-29T18:37:21Z
If you press return my device you can get it back,0,0,1,1,UgwMXQQwVuoJKC92E9F4AaABAg,ItYOdWRo0JY,2019-12-01T03:07:08Z
What a dumb f...ck,0,1,0,1,UgyFWTs-FFInLr6zc9h4AaABAg,ItYOdWRo0JY,2019-12-07T17:14:13Z
So Annoying,0,1,0,1,UgzqO7fls3gjpEv5lmp4AaABAg,ItYOdWRo0JY,2019-11-26T07:30:47Z
This is a scam or sum smh ion like that machine,0,1,0,1,Ugz66Aa3txAMZQTx6_N4AaABAg,ItYOdWRo0JY,2019-11-15T04:59:18Z
