comment_id,body,rating
UgztP4lVR-Epv5HlSXN4AaABAg,stretch past minut mark ad revenu se,0
Ugw3sxLwikkGsUza7hh4AaABAg,make sens sold new phone noth,0
Ugxe5-sz9eHyFCvZX4l4AaABAg,hapi lost dolar,-1
UgxInsxWP8cnbFEh1Cp4AaABAg,doe work ipad,-1
Ugwn6_K1_792ARqfY4h4AaABAg,yo as beter not donat cord might ben bad if youv sen video other do shouldv known peopl gete buck broken iphon,-1
Ugz5bQgZRZ6jTEgT0Op4AaABAg,talk damn much like get point,0
UgxUfNJxwDxAOC232dV4AaABAg,do reali brain unsubscrib,0
UgyZz5GOV1fu05dd8z14AaABAg,doe say n o p e when grab his phone,-1
UgxGoHzDDkkn9HePDKx4AaABAg,his phone could do whatev want,-1
Ugy3XYCLMNHa0f6AZqB4AaABAg,kid stay away from drug,-1
Ugx17oPE-GpTdOfXOz14AaABAg,niga fuck wast iphon x,0
UgxfqlCvyOCXyO6Duk14AaABAg,machin scam that there were mani pop up show that not get sele price,0
Ugy-w4Alg8dWV832Xct4AaABAg,would recycl iphon rich kid shake head,-1
Ugwk1rOlnxTKMGeSQYl4AaABAg,rose red violet blue vid start,-1
UgxGrpeOgUkBVUSyZAx4AaABAg,should given one fan store,-1
UgyU5IcLSIgtgjEYhGF4AaABAg,fake alarm,0
UgwMXQQwVuoJKC92E9F4AaABAg,if pres return devic can get back,-1
UgyFWTs-FFInLr6zc9h4AaABAg,dumb fck,0
UgzqO7fls3gjpEv5lmp4AaABAg,anoy,0
Ugz66Aa3txAMZQTx6_N4AaABAg,scam or sum shake head not like machin,0
UgzCXd6oqEO93QWI58R4AaABAg,fuckin dumba,0
Ugwa-U3DC-GMp3u9jbx4AaABAg,sel nokia,-1
UgzZubyLG5FtZu7qlal4AaABAg,big time scam,0
UgzxtBonBOSragayWtp4AaABAg,got dolar x gb,-1
UgwL7IT4PTdLHXFi2LJ4AaABAg,fake replac phone wast time click bait bs,0
Ugz8N_qVu3PNcGTN4hl4AaABAg,j,-1
Ugxsr6Kq36GovczfwXR4AaABAg,dolar,-1
UgwUGEgHVDte55u3Pzd4AaABAg,talk much,0
UgyLfVwRMz5f9xSzJ1N4AaABAg,spat lawn,0
UgzdVqg8weCZ54sHWNp4AaABAg,disapoint you lol actuali broke laugh,0
Ugz6un_I1FU0ahY7i-p4AaABAg,scambot,0
UgwmBF6h8qaau8htjxN4AaABAg,audi,-1
UgzceIPX4VnLLnFTPGZ4AaABAg,mega idiot award goe,0
UgyguZf1-mdlxp0HJn14AaABAg,hel titl polish,-1
UgwyIQ3LFS_0ZW68jF14AaABAg,thought mr beast second,-1
UgxlY3FXY15u8mQNNFZ4AaABAg,hope wal mart hawai wil machin,-1
UgwvUnDHK2u7HA0HJE94AaABAg,fake iphon laugh se phone,-1
Ugy-zUPKIcZxUpc7NXF4AaABAg,ben ripof dolar fake apl,0
Ugz4uy-JDZ94pmxkjtN4AaABAg,stupid,0
UgzSMwb88ntjkYHQYaN4AaABAg,id recycl his face,0
UgwS5xQLLnyIzNUS4bp4AaABAg,god dang twat,0
Ugxy3Jv2eVWijEXl9T54AaABAg,that fuck up,0
Ugzf0iCip78s2KSesWx4AaABAg,percent bulshit,0
UgyZ5LrNN1v4QH4yS-l4AaABAg,guy lok like stereotyp egocentr youtub,0
UgzLDZOp3qTTB2z3IRZ4AaABAg,aint nobodi gona recycl brand new iphonex not care much money have proli switch phone,-1
