comment_id,video_id,date,body,rating
UgztP4lVR-Epv5HlSXN4AaABAg,ItYOdWRo0JY,2020-01-10T20:24:33Z,stretched past  minute mark ad revenue see,0
Ugw3sxLwikkGsUza7hh4AaABAg,ItYOdWRo0JY,2020-03-22T19:13:19Z,makes no sense you sold new phone nothing,0
Ugxe5-sz9eHyFCvZX4l4AaABAg,ItYOdWRo0JY,2020-10-30T12:27:57Z,why he happy he lost  dollars,-1
UgxInsxWP8cnbFEh1Cp4AaABAg,ItYOdWRo0JY,2020-07-21T16:38:40Z,does work ipads,-1
Ugwn6_K1_792ARqfY4h4AaABAg,ItYOdWRo0JY,2019-12-23T13:35:04Z,yo ass better not have donated cord might have been bad if youve seen videos other doing you shouldve known people getting  bucks broken iphones,-1
Ugz5bQgZRZ6jTEgT0Op4AaABAg,ItYOdWRo0JY,2020-03-01T15:36:02Z,talk damn much like get point,0
UgxUfNJxwDxAOC232dV4AaABAg,ItYOdWRo0JY,2020-12-19T06:59:10Z,do you really have brain unsubscribing,0
UgyZz5GOV1fu05dd8z14AaABAg,ItYOdWRo0JY,2020-02-18T03:14:03Z, why does say n o p e when he grabs his phone,-1
UgxGoHzDDkkn9HePDKx4AaABAg,ItYOdWRo0JY,2020-08-29T01:03:27Z,his phone he could do whatever he wanted with,-1
Ugy3XYCLMNHa0f6AZqB4AaABAg,ItYOdWRo0JY,2020-03-20T02:59:25Z,kids stay away from drugs,-1
Ugx17oPE-GpTdOfXOz14AaABAg,ItYOdWRo0JY,2020-05-04T02:13:50Z,nigga fucking wasted iphone x,0
UgxfqlCvyOCXyO6Duk14AaABAg,ItYOdWRo0JY,2020-08-19T22:51:32Z,machine scams thats why there were many pop ups show you thats why you not get selling price,0
UgymhxRXBM5z4M2iv3R4AaABAg,ItYOdWRo0JY,2020-03-19T21:49:52Z,he obviously used cuts switch shitty prepaid alcatel onetouch fuckin click bait lies,0
Ugy-w4Alg8dWV832Xct4AaABAg,ItYOdWRo0JY,2019-11-27T21:08:41Z,why would you recycle iphone rich kid shake head,-1
Ugwk1rOlnxTKMGeSQYl4AaABAg,ItYOdWRo0JY,2019-09-22T16:13:21Z,roses red violets blue vid starts at ,-1
UgxGrpeOgUkBVUSyZAx4AaABAg,ItYOdWRo0JY,2019-11-10T04:25:25Z,you should have given one fans store,-1
UgyU5IcLSIgtgjEYhGF4AaABAg,ItYOdWRo0JY,2019-10-29T18:37:21Z,fake alarm,0
UgwMXQQwVuoJKC92E9F4AaABAg,ItYOdWRo0JY,2019-12-01T03:07:08Z,if you press return device you can get back,-1
UgyFWTs-FFInLr6zc9h4AaABAg,ItYOdWRo0JY,2019-12-07T17:14:13Z,what dumb fck,0
UgzqO7fls3gjpEv5lmp4AaABAg,ItYOdWRo0JY,2019-11-26T07:30:47Z,annoying,0
Ugz66Aa3txAMZQTx6_N4AaABAg,ItYOdWRo0JY,2019-11-15T04:59:18Z,scam or sum shake head not like machine,0
UgzCXd6oqEO93QWI58R4AaABAg,ItYOdWRo0JY,2019-11-05T09:17:50Z,fuckin dumbass,0
Ugwa-U3DC-GMp3u9jbx4AaABAg,ItYOdWRo0JY,2019-07-15T04:10:32Z,sell nokia ,-1
UgzZubyLG5FtZu7qlal4AaABAg,ItYOdWRo0JY,2019-08-01T15:45:49Z,big time scam,0
UgzxtBonBOSragayWtp4AaABAg,ItYOdWRo0JY,2019-09-01T10:25:45Z,got  dollars x  gb,-1
UgwL7IT4PTdLHXFi2LJ4AaABAg,ItYOdWRo0JY,2019-07-24T03:02:46Z,fake replaced phone waste time click bait bs,0
Ugz8N_qVu3PNcGTN4hl4AaABAg,ItYOdWRo0JY,2019-08-26T09:38:27Z,j,-1
Ugxsr6Kq36GovczfwXR4AaABAg,ItYOdWRo0JY,2019-07-21T15:54:33Z, dollars,-1
UgwUGEgHVDte55u3Pzd4AaABAg,ItYOdWRo0JY,2019-08-10T17:51:56Z,you talking much,0
UgyLfVwRMz5f9xSzJ1N4AaABAg,ItYOdWRo0JY,2019-08-14T07:04:05Z,spat lawn,0
UgzdVqg8weCZ54sHWNp4AaABAg,ItYOdWRo0JY,2019-09-09T08:54:14Z,im disappointed you lol actually broke laugh,0
Ugz6un_I1FU0ahY7i-p4AaABAg,ItYOdWRo0JY,2019-09-01T03:18:03Z,what scambot,0
UgzfpXZCxa7YrP0S6Jh4AaABAg,ItYOdWRo0JY,2019-08-13T01:30:46Z,why do you talk much,0
UgzvuNVuarOnb01wMbR4AaABAg,ItYOdWRo0JY,2019-07-14T05:07:29Z,wtf fucking machine,0
UgwmBF6h8qaau8htjxN4AaABAg,ItYOdWRo0JY,2019-07-06T03:39:23Z,audi,-1
UgzceIPX4VnLLnFTPGZ4AaABAg,ItYOdWRo0JY,2019-07-07T03:04:23Z,mega idiot award goes you,0
UgyguZf1-mdlxp0HJn14AaABAg,ItYOdWRo0JY,2019-06-28T17:45:00Z,why hell title polish,-1
UgwyIQ3LFS_0ZW68jF14AaABAg,ItYOdWRo0JY,2019-06-27T23:28:03Z,thought mr beast second,-1
UgxlY3FXY15u8mQNNFZ4AaABAg,ItYOdWRo0JY,2019-07-03T09:05:45Z,hope wal mart hawaii will have machine,-1
