comment_id,video_id,date,body,rating
UgzHduB8hJNtSSVQJ-t4AaABAg,ItYOdWRo0JY,2019-03-01T09:31:58Z,good,1
UgxB4Ya7EeXjnL2gXrF4AaABAg,ItYOdWRo0JY,2019-02-11T13:52:23Z,nice,1
UgwTHUgTPBxRu8bz6-l4AaABAg,ItYOdWRo0JY,2019-01-30T12:56:09Z,you kind person,1
UgjVVUkF3LLWNXgCoAEC,PpcNQNJmU9Y,2016-07-14T00:24:28Z,looks good,1
UgzhYX7nMHIoIuivJKB4AaABAg,ItYOdWRo0JY,2019-01-26T09:37:00Z,cool,1
UgwsvtG8cZmcHp_jynx4AaABAg,0tO_l_Ed5Rs,2019-07-29T22:00:27Z,another talent matthew possess,1
Ugxn2Ag15UkrVAtPDh54AaABAg,0tO_l_Ed5Rs,2020-03-11T22:15:20Z,kinda love this its not mumble rap bs plus matt looks hot,1
Ugy1Wp2qqlNY2212gCt4AaABAg,0tO_l_Ed5Rs,2020-07-31T15:15:35Z,love mathew you killed,1
Ugxv28EU_oNlNd7b13h4AaABAg,0tO_l_Ed5Rs,2020-03-24T22:22:26Z,dang matt you killin it,1
Ugzo7Rf5bNJFl6e5mYR4AaABAg,0tO_l_Ed5Rs,2019-12-28T22:40:42Z,bruh good ol days,1
UgxU0Pzs3N6MMRDgSdV4AaABAg,0tO_l_Ed5Rs,2020-01-11T15:12:48Z,best song ever,1
UgyRgqDxNbS1_4I63dJ4AaABAg,0tO_l_Ed5Rs,2019-08-13T03:35:16Z,mathew s lyrics great thou,1
UgyI90OZdukRk5jrXGN4AaABAg,0tO_l_Ed5Rs,2020-06-08T23:03:42Z,love matthew santoro great at everything you do,1
UgwwjSdNTjJMRIlraPd4AaABAg,0tO_l_Ed5Rs,2020-03-06T07:42:06Z,wow smile actually made me feel something once smile thanks matt,1
UgyhMGl30WlRz-VHXQt4AaABAg,0tO_l_Ed5Rs,2021-01-11T21:14:00Z,really cool why all thumb downs whose disliking,1
Ugw_PgzgXl_1nVrHqKV4AaABAg,0tO_l_Ed5Rs,2019-08-27T20:30:10Z, still best track ever made,1
UgzYexcaXBJ0LynLTOF4AaABAg,0tO_l_Ed5Rs,2018-10-24T15:59:36Z,im hella late good job matt,1
