comment_id,video_id,date,body,rating
Ugg0Pyfi7ZpIMXgCoAEC,cRJjXCK6H6Y,2016-08-21T23:26:18Z,came here press dislike,0
UgwReMfD3LIY64UvNpd4AaABAg,EeF3UTkCoxY,2021-02-01T16:45:20Z,not going lie trailer vibe,1
UgzXO7zbG5QWAlkN_3B4AaABAg,_UZbgH3pOBA,2017-10-10T03:12:49Z,sorry guys ethan ethical thats his whole persona hes always been like that ethical no matter what happens you all suck as followers,1
UghrQ_ci2MLiOngCoAEC,KEJdam7NJ2Y,2016-06-23T06:15:39Z,laugh ending killed me true said though he should take down,1
Ugx-WqTr5eeaPrZMl2x4AaABAg,0tO_l_Ed5Rs,2017-12-05T09:36:47Z,love it talented matt love all videos no matter content d,1
UgwDIX7MVOFBA1HcrJR4AaABAg,c7nRTF2SowQ,2020-12-24T22:16:59Z,best game trailer ever,1
UgzfwN7aSUc6TCZN32R4AaABAg,lYEj9snU838,2017-12-23T16:33:29Z,you like mom dad stop faking boy,0
UgxOPGr7gnlz5_F_Ecx4AaABAg,MfTbHITdhEI,2021-01-24T15:09:22Z,dang nice love his videos,1
UgxAwVX47F5tsUwH3Jx4AaABAg,lqZSV5sFeZI,2020-11-16T04:02:47Z,want hair like you,1
UgxKykxU1iwFoHIUMSV4AaABAg,mNcdlLIOdNw,2020-12-18T03:22:07Z,we need part two selena its amazing,1
UghMCfN7SEnigXgCoAEC,KEJdam7NJ2Y,2016-06-16T00:34:40Z,why do you waste life doing stupid stuff,0
UgxA1B2jDe0uZ1So63N4AaABAg,0tO_l_Ed5Rs,2017-11-18T02:34:32Z,at least better than jake paul,1
UgiSkCcNeLK6AngCoAEC,Rqy_5PmID6k,2016-06-22T13:17:18Z,not like you you place people danger you cause lot emotional distress amongst innocents you ruin there lives you need go,0
Ugxy_BsP_OVAzhwW0Ex4AaABAg,_GuOjXYl5ew,2020-12-26T21:13:59Z,best,1
Ugx5yxeWP9709hpVocx4AaABAg,RZ65WvTqPl4,2021-02-01T10:24:52Z,hes good dog stand still got snacks as his reward,1
Ugx67RYE3FYvJTvDi3h4AaABAg,8d_202l55LU,2017-12-16T03:45:57Z,fuck,0
Ugy66BY_yMu7u74alpp4AaABAg,u_J0Ng5cUGg,2021-01-23T09:25:54Z,god video stupid,0
UgwqpqmBr-2xXfJEY054AaABAg,WeA7edXsU40,2018-12-08T12:35:57Z,nice,1
UgzUlYFFec2fmLA6Q0J4AaABAg,LFhT6H6pRWg,2018-04-20T09:37:05Z,quite condescending video from liar thief,0
Ugz7_O-riPu6_wAgXcN4AaABAg,HVjlcUtuENM,2018-01-07T08:04:10Z,still not get laugh,0
UghPOv1byT7BAXgCoAEC,C_Ig3iHWDwk,2016-08-21T23:07:10Z,fuck you boii,0
UgxUCO_ySKTKkww_tMx4AaABAg,5NbhJ2fFGco,2020-05-19T14:10:42Z,laugh smile laugh smile smile laugh laugh,1
Ugzuu-SDefDU-I4Y7jd4AaABAg,34UCkAJKt6M,2018-06-23T10:40:58Z,go fuck yourself,0
Ugh5ft3kmNmGtngCoAEC,Rqy_5PmID6k,2016-06-24T11:44:41Z,keep cancer,0
UgyDUqMLP0anV5I8rNp4AaABAg,J2HytHu5VBI,2021-02-02T19:08:08Z,sometimes come back good cry,1
Ugy4UFJ8asK_xt8LudF4AaABAg,HVjlcUtuENM,2018-01-25T17:44:08Z,whats wrong with you mean really,0
UgzFcQHMbcgfur8XOzR4AaABAg,ffxKSjUwKdU,2021-01-19T22:48:11Z,love song wish ariana still had blondewhite hair beautiful ariana,1
Ughn2trshnfEm3gCoAEC,PpcNQNJmU9Y,2016-08-14T23:52:07Z,game looks good why munch hate,1
UgyDRVpqP1GVcsxLwxR4AaABAg,V5cOvyDpWfM,2019-02-09T00:47:48Z,am offended,0
